Publication Type;Authors;Book Authors;Group Authors;Book Group Authors;Researcher Ids;ORCIDs;Book Editors;Author - Arabic;Grant Principal Investigator;Grant Co Principal Investigator;Article Title;Article Title - SciELO;Article Title - SciELO;Article Title - Chinese;Article Title - Russian;Patent Number;Patent Assignee;Source Title - Arabic;Source Title;Source Title - Korean;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;Version;Version History;DOI;Book DOI;License Name;License URI;License Description;Early Access Date;Supplement;Document Type;Publication Date;Publication Year;Abstract;Abstract - Foreign;Abstract - English Transliteration;Abstract - Foreign;Abstract - Korean;Conference Title;Conference Date;Conference Sponsor;Conference Location;Times Cited, WoS Core;Times Cited, CSCD;Times Cited, RSCI;Times Cited, ARCI;Times Cited, BCI;Times Cited, SCIELO;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Grant Number;No of References;Cited References;Language;Advisor;Committee Member;Copyright;Degree Name;Institution Address;Institution;Dissertation and Thesis Subjects;Author Keywords;Indexed Date;UT (Unique ID);Pubmed Id;
J;"Madan, Dilip B.; Schoutens, Wim; Wang, King";;;;;;;;;;Bilateral multiple gamma returns: Their risks and rewards;;;;;;;;INTERNATIONAL JOURNAL OF FINANCIAL ENGINEERING;;;;7;1;;;;;2050008;;;10.1142/S2424786320500085;;;;;;;Article;MAR 2020;2020;The bilateral gamma model for returns is naturally derived from the lognormal model. Maximizing entropy in a random time change delivers the symmetric variance gamma model. The asymmetric variance gamma follows on incorporating skewness. Differential speeds for the upward and downward motions lead to the bilateral gamma. A further generalizations results in the bilateral double gamma model when the speed parameter of the bilateral gamma model is itself taken to be gamma distributed on entropy maximization. A rich five to seven parameter specification of preferences renders possible the extraction of physical densities from option prices. The quality of such extraction is measured by examining the uniformity of the estimated distribution functions evaluated at realized forward returns. The economic value of risky returns is seen to embed three/five risk premia for the bilateral gamma/bilateral double gamma. For the bilateral gamma they are up and down side volatilities compensated in up and down side drifts, and the down side drift compensated in the up side drift. For the bilateral double gamma one adds in addition compensations for skewness. Results reveal a drop in the down side risk premiumsince the crisis with an increase in the recent period.;;;;;;;;;14;0;0;0;0;0;21;;;2345-7686;2382-5596;;;;;;;;;;Univ Maryland, Robert H Smith Sch Business, College Pk, MD 20742 USAKatholieke Univ Leuven, Dept Math, Leuven, BelgiumMorgan Stanley, Derivat Prod Strats, 1585 Broadway,5th Floor, New York, NY 10036 USA;;;;2020-04-14;WOS:000522819500008;;
J;"Fan, Jianqing; Jiang, Bai; Sun, Qiang";;;;Fan, Jianqing/B-2115-2008;;;;;;Bayesian factor-adjusted sparse regression;;;;;;;;JOURNAL OF ECONOMETRICS;;;;230;1;;;3;19;;;;10.1016/j.jeconom.2020.06.012;;;;;JUN 2022;;"Article; Proceedings Paper";SEP 2022;2022;Many sparse regression methods rely on an assumption that the covariates are weakly correlated, which hardly holds in many economic and financial datasets. To relax this assumption, we model the strongly correlated covariates by a factor structure: strong correlations among covariates are modeled by common factors, while the remaining variations of covariates are modeled as idiosyncratic components. We then propose a factor-adjusted sparse regression model and develop a semi-Bayesian estimation method for it. Posterior contraction rate and model selection consistency are established by a non-asymptotic analysis. Experimental studies show that the proposed method outperforms its Lasso analogue, manifests insensitivity to overestimates of the number of common factors, pays a negligible price when covariates are uncorrelated, scales up well with increasing sample size, dimensionality and sparsity, and converges fast to the posterior distribution. An application to the U.S. bond risk premia lends further support to the proposed model and method. (C) 2021 Published by Elsevier B.V.;;;;;Conference on Bayesian Methods in Economics and FinanceConference on Bayesian Methods in Economics and Finance;DEC 10, 2018DEC 10, 2018;;ESSEC, Singapore Campus, Singapore, SINGAPOREESSEC, Singapore Campus, Singapore, SINGAPORE;6;0;0;0;0;0;6;;;0304-4076;1872-6895;;;;;;;;;;Princeton Univ, Dept Operat Res & Financial Engn, Princeton, NJ 08544 USAUniv Toronto, Dept Stat Sci, Toronto, ON M5S 3G3, CanadaPrinceton Univ, ORFE, 98 Charlton St, Princeton, NJ 08540 USA;;;;2022-07-03;WOS:000812361500002;35754940;
J;"Gambaro, Anna Maria; Casalini, Riccardo; Fusai, Gianluca; Ghilarducci, Alessandro";;;;Fusai, Gianluca/F-1992-2013;;;;;;Quantitative assessment of common practice procedures in the fair evaluation of embedded options in insurance contracts;;;;;;;;INSURANCE MATHEMATICS & ECONOMICS;;;;81;;;;117;129;;;;10.1016/j.insmatheco.2017.10.005;;;;;;;Article;JUL 2018;2018;This work analyses the common industry practice used to evaluate financial options written on with profit policies issued by European insurance companies. In the last years regulators introduced, with the Solvency II directive, a market consistent valuation framework for determining the fair value of asset and liabilities of insurance funds. A relevant aspect is how to deal with the estimation of sovereign credit and liquidity risk, that are important components in the valuation of the majority of insurance funds, which are usually heavily invested in treasury bonds. The common practice is the adoption of the certainty equivalent approach (CEQ) for the risk neutral evaluation of insurance liabilities, which results in a deterministic risk adjustment of the securities cash flows. In this paper, we propose an arbitrage free stochastic model for interest rate, credit and liquidity risks, that takes into account the dependences between different government bond issuers. We test the impact of the common practice against our proposed model, via Monte Carlo simulations. We conclude that in the estimation of options whose pay-off is determined by statutory accounting rules, which is often the case for European traditional with-profit insurance products, the deterministic adjustment for risk of the securities cash flows is not appropriate, and that a more complete model such as the one described in this article is a viable and sensible alternative in the context of market consistent evaluations. (C) 2017 Elsevier B.V. All rights reserved.;;;;;;;;;7;0;0;0;1;0;10;;;0167-6687;1873-5959;;;;;;;;;;Univ Piemonte Orientale, Dipartimento Studi Econ & Impresa, Via E Perrone 18, I-28100 Novara, ItalyDeloitte Consulting Srl, Finance & Risk, Via Tortona 25, I-20144 Milan, ItalyCity Univ London, Cass Business Sch, Fac Finance, 106 Bunhill Row, London EC1Y 8TZ, England;;;;2018-09-03;WOS:000442315300010;;
J;"Pesaran, M. Hashem; Smith, Ron P.";;;;Pesaran, Mohammad/HPG-0353-2023;;;;;;Identifying and Exploiting Alpha in Linear Asset Pricing Models with Strong, Semi-Strong, and Latent Factors;;;;;;;;JOURNAL OF FINANCIAL ECONOMETRICS;;;;23;3;;;;;;;;10.1093/jjfinec/nbae029;;;;;DEC 2024;;Article;2025;2025;The risk premia of traded factors are the sum of factor means and a parameter vector, we denote by phi, which is identified from the cross-sectional regression of alpha i on the vector of factor loadings, beta i. If phi is non-zero, then alpha i are non-zero and one can construct phi-portfolios which exploit the systematic components of non-zero alpha. We show that for known values of beta i and when phi is non-zero, there exist phi-portfolios that dominate mean-variance (MV) portfolios. This article then proposes a two-step bias corrected estimator of phi and derives its asymptotic distribution allowing for idiosyncratic pricing errors, weak missing factors, and weak error cross-sectional dependence. Small sample results from extensive Monte Carlo experiments show that the proposed estimator has the correct size with good power properties. This article also provides an empirical application to a large number of U.S. securities with risk factors selected from a large number of potential risk factors according to their strength and constructs phi-portfolios and compares their Sharpe ratios to MV and S&P portfolios.;;;;;;;;;0;0;0;0;0;0;0;;;1479-8409;1479-8417;;;;;;;;;;Univ Southern Calif, Dept Econ, Los Angeles, CA 90089 USATrinity Coll, Cambridge CB2 1BQ, EnglandBirkbeck Univ London, Dept Econ, Malet St, London WC1E 7HX, England;;;;2024-12-21;WOS:001377107700001;;
J;"Wang, Bo; Li, You; Wang, Shuming; Watada, Junzo";;;;"Watada, Junzo/P-5439-2018; Wang, Bo/JLM-5172-2023";;;;;;A Multi-Objective Portfolio Selection Model With Fuzzy Value-at-Risk Ratio;;;;;;;;IEEE TRANSACTIONS ON FUZZY SYSTEMS;;;;26;6;;;3673;3687;;;;10.1109/TFUZZ.2018.2842752;;;;;;;Article;DEC 2018;2018;Considering nonstatistical uncertainties and/or insufficient historical data in security return forecasts, fuzzy set theory has been applied in the past decades to build portfolio selection models. Meanwhile, various risk measurements such as variance, entropy, and Value-at-Risk have been proposed in fuzzy environments to evaluate investment risks from different perspectives. Sharpe ratio, also known as the reward-to-variability ratio, which measures the risk premium per unit of the nonsystematic risk (asset deviation), has received great attention in modern portfolio theory. In this study, the Sharpe ratio in fuzzy environments is introduced, whereafter, a fuzzy Value-at-Risk ratio is proposed. Compared with Sharpe ratio, Value-at-Risk ratio is an index with dimensional knowledge that reflects the risk premium per unit of the systematic risk (the greatest loss under a given confidence level). On the basis of the two ratios, a multi-objective model is built to evaluate their joint impact on portfolio selection. Then, the proposed model is solved by a fuzzy simulation based multi-objective particle swarm optimization algorithm, where the global best of each iteration is determined by an improved dominance times based method. Finally, the algorithm superiority is justified via comparing with existing solvers on benchmark problems, and the model effectiveness is exemplified by using three case studies on portfolio selection.;;;;;;;;;45;3;0;0;1;0;53;;;1063-6706;1941-0034;;;;;;;;;;Nanjing Univ, Sch Management & Engn, Nanjing 210008, Peoples R ChinaNanjing Univ Finance & Econ, Sch Finance, Nanjing 210003, Peoples R ChinaUniv Chinese Acad Sci, Sch Econ & Management, Beijing 101408, Peoples R ChinaUniv Teknol PETRONAS, Dept Comp & Informat Sci, Seri Iskandar 32610, Malaysia;;;;2018-12-28;WOS:000451946300039;;
J;"Li, Luyang; Yin, Ximing; Yu, Deshui";;;;Yin, Ximing/KZU-7368-2024;;;;;;On the time-varying relation between monetary policy uncertainty and bond risk premia;;;;;;;;INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS;;;;106;;;;;;104465;;;10.1016/j.irfa.2025.104465;;;;;;;Article;OCT 2025;2025;This paper examines the time-varying relationship between monetary policy uncertainty (MPU) and bond excess returns. To do so, we introduce a nonparametric time-varying coefficient predictive regression model for bond returns, and employ a kernel-based two-step method to estimate the time-varying coefficients. Next, we apply the methodologies to analyze the dynamic forecasting relationship between zero-coupon bond returns and MPU from 1985 to 2022. We find that MPU significantly and positively predicts bond returns in over 75% of the sample period, with the strongest effect observed in 2005. Thus, the expectations hypothesis is only transiently valid. After controlling for the shape of the yield curve, MPU still retains its ability to predict bond returns in 50% to 80% of the sample period. Our conclusions are robust to the so-called embedded endogeneity. Additionally, we find that bond excess returns are less responsive to MPU during periods of high economic activities and are more responsive during periods of low economic activities.;;;;;;;;;0;0;0;0;0;0;0;;;1057-5219;1873-8079;;;;;;;;;;Xiangtan Univ, Business Sch, Taiping Rd, Xiangtan 411105, Peoples R ChinaHunan Univ, Coll Finance & Stat, 109 Shijiachong Rd, Changsha 410006, Peoples R China;;;;2025-08-08;WOS:001540561800003;;
J;"Hoencamp, J. H.; Jain, S.; Kandhai, B. D.";;;;;;;;;;A static replication approach for callable interest rate derivatives: mathematical foundations and efficient estimation of SIMM-MVA;;;;;;;;QUANTITATIVE FINANCE;;;;24;3-4;;;409;432;;;;10.1080/14697688.2024.2312523;;;;;FEB 2024;;Article;FEB 26 2024;2024;The computation of credit risk measures such as exposure and Credit Value Adjustments (CVA) requires the simulation of future portfolio prices. Recent metrics, such as dynamic Initial Margin (IM) and Margin Value Adjustments (MVA) additionally require the simulation of future conditional sensitivities. For portfolios with non-linear instruments that do not admit closed-form valuation formulas, this poses a significant computational challenge. This problem is addressed by proposing a static replication algorithm for interest rate options with early-exercise features under an affine term-structure model. Under the appropriate conditions, we can find an equivalent portfolio of vanilla options that replicate these products. Specifically, we decompose the product into a portfolio of European swaptions. The weights and strikes of the portfolio are obtained by regressing the target option value with interpretable, feed-forward neural networks. Once an equivalent portfolio of European swaptions is determined, we can leverage on closed-form expressions to obtain the conditional prices and sensitivities, which serve as an input to exposure and SIMM-driven MVA quantification. For a consistent forward sensitivity estimation, this involves the differentiation of the portfolio-weights. The accuracy and convergence of the method is demonstrated through several representative numerical examples, benchmarked against the established least-square Monte Carlo method.;;;;;;;;;1;0;0;0;0;0;1;;;1469-7688;1469-7696;;;;;;;;;;Univ Amsterdam, Computat Sci Lab, Sci Pk 904, NL-1098XH Amsterdam, NetherlandsIndian Inst Sci, Dept Management Studies, Bangalore, IndiaING Bank, Quantitat Analyt, Foppingadreef 7, NL-1102 BD Amsterdam, Netherlands;;;;2024-03-10;WOS:001170161200001;;
J;"Avdoulas, Christos; Bekiros, Stelios; Lucey, Brian";;;;"lucey, brian/AAX-5680-2021; Bekiros (Hab., PhD, MSc, MEng, Dipl.-Ing, BEng), Chair Prof. Dr. Stelios/K-4041-2014; Bekiros, Professor Dr. Stelios/K-4041-2014";"Lucey, Brian/0000-0002-4052-8235; Bekiros (Hab., PhD, MSc, MEng, Dipl.-Ing, BEng), Chair Prof. Dr. Stelios/0000-0002-9376-8726;";;;;;The term structure of Eurozone peripheral bond yields: an asymmetric regime-switching equilibrium correction approach;;;;;;;;STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS;;;;24;4;;;;;20180105;;;10.1515/snde-2018-0105;;;;;;;Article;SEP 2020;2020;Several studies have established the predictive power of the yield curve i.e. the difference between long and short-term bond rates and the role of asymmetries in the term structure of bond yields with respect to real economic activity. Using an extensive dataset, comprising 3-month, 1-year, 5-year and 10-year constant maturity Treasury bonds for the Eurozone southern periphery countries - the so-called PIIGS - from January 1999 to April 2019, we investigate the links between bond yields of different maturities for the Eurozone southern peripheral countries and we find they co-evolve in line with the predictions of the Expectations Hypothesis theory. We demonstrate the presence of nonlinearities in the term structure, and utilize a multivariate asymmetric two-regime Markov-switching VAR methodology to model them properly. Moreover, we address the economic reasoning behind the introduction of an equilibrium-correction regime-switching approach, hence providing potentially important insights on the behaviour of the entire yield curve. We reveal that the regime shifts are related to the state of the business cycle, particularly in economies in which monetary policy decisions are implemented via changes in short-term rates as a response to deviations of output from equilibrium levels. Our results may have important statistical and economic implications on the behaviour of the term structure of bond yields.;;;;;;;;;1;0;0;0;0;0;1;;;1081-1826;1558-3708;;;;;;;;;;Athens Univ Econ & Business, Dept Accounting & Finance, 76 Patiss Str, GR-10434 Athens, GreeceEuropean Univ Inst EUT, Dept Econ, Via Fontanel 18, I-50014 Florence, ItalyTrinity Coll Dublin, Sch Business Studies 420, Dublin 2, Ireland;European Univ Inst EUT;;;2021-01-05;WOS:000600062700004;;
J;"Ma, Feng; Wang, Jiqian; Wahab, M. I. M.; Ma, Yuanhui";;;;Ma, Yuanhui/L-9979-2016;;;;;;Stock market volatility predictability in a data-rich world: A new insight;;;;;;;;INTERNATIONAL JOURNAL OF FORECASTING;;;;39;4;;;1804;1819;;;;10.1016/j.ijforecast.2022.08.010;;;;;SEP 2023;;Article;OCT-DEC 2023;2023;"This study develops a shrinkage method, LASSO with a Markov regime-switching model (MRS-LASSO), to predict US stock market volatility. A set of 17 well-known macroeconomic and financial factors are used. The out-of-sample results reveal that the MRS-LASSO model yields statistically and economically significant volatility predictions. We further investigate the predictability of MRS-LASSO with respect to different market conditions, business cycles, and variable selection. Three factors (equity market returns, a short-term reversal factor, and a consumer sentiment index) are the most frequent predictors. To investigate the practical implications, we construct the expected variance risk premium (VRP) by using volatility forecasts generated from the LASSO and MRSLASSO models to forecast future stock returns and find that those models are also powerful. & COPY; 2022 Published by Elsevier B.V. on behalf of International Institute of Forecasters.";;;;;;;;;33;0;0;0;0;0;36;;;0169-2070;1872-8200;;;;;;;;;;Southwest Jiaotong Univ, Sch Econ & Management, Chengdu, Peoples R ChinaServ Sci & Innovat Key Lab Sichuan Prov, Chengdu, Peoples R ChinaRyerson Univ, Dept Mech & Ind Engn, Toronto, ON, CanadaSouthwest Jiaotong Univ, Sch Math, Chengdu, Peoples R China;Serv Sci & Innovat Key Lab Sichuan Prov;;;2023-10-08;WOS:001072956700001;;
J;"Sanz, Rafael Leon; Leon-Sanz, Pilar";;;;"Leon-Sanz, Maria Pilar/A-8753-2011; Leon, Rafael/JCD-8860-2023; León-Sanz, María/A-8753-2011";"Leon-Sanz, Maria Pilar/0000-0003-0247-6101; Leon Sanz, Rafael/0000-0002-8589-4132";;;;;Modeling Health Data Using Machine Learning Techniques Applied to Financial Management Predictions;;;;;;;;APPLIED SCIENCES-BASEL;;;;12;23;;;;;12148;;;10.3390/app122312148;;;;;;;Article;DEC 2022;2022;"Health management has steadily improved in performance and accuracy using IT technology. Hospitals and health institutions hold an enormous number of data in their software applications, which can be used with Big Data methodologies to extract useful information. One of the most challenging aspects of health institutional management is financial management; billing prediction is a key aspect to maintain a predictable service level for patients, avoiding unpleasant surprises and anticipating treasury management. Using patient data from public patient databases and applying a machine learning approach, this article offers a model that helps to make more precise and detailed financial plans.";;;;;;;;;7;0;0;0;0;0;7;;;;2076-3417;;;;;;;;;;Univ Alcala, Tech Super Sch Comp Engn, Automatic Dept, Alcala De Henares 28801, SpainUniv Navarra, Sch Med, Pamplona 31008, Spain;;;;2023-01-27;WOS:000910916900001;;
J;"Meng, Tiantian; Yahya, M. H.; Chai, Jingmin";;;;"; meng, tiantian/HGC-6014-2022";"MENG, TIANTIAN/0009-0006-4638-9009;";;;;;Deep Learning Model for Stock Excess Return Prediction Based on Nonlinear Random Matrix and Esg Factor;;;;;;;;MATHEMATICAL PROBLEMS IN ENGINEERING;;;;2022;;;;;;5239493;;;10.1155/2022/5239493;;;;;;;Article;SEP 14 2022;2022;Aiming at the problem that the traditional model has low accuracy in describing stock excess return, in order to further analyze the change law of stock excess, based on the nonlinear random matrix and esg factor theory, the traditional learning model is analyzed, and the corresponding optimized deep learning model is obtained by introducing the single ring theorem and statistical data. Through the analysis and research of related indexes, the change rules of different indexes are obtained, and the optimization model is used to calculate and forecast the excess return of stocks. The results show that the statistics and spectral radius show typical local linear variation with the increase of eigenvalue. The corresponding statistics show a trend of gradual increase. The corresponding spectral radius has a decreasing variation law, and the two curves have obvious symmetry at some eigenvalues. It can be seen from the change curves under different factors that the change trend of the yield curve is mainly affected by the investment factor, while the change rule of the specific value of the yield curve is controlled by the profit factor. This shows that the two factors have the same influence on the stock excess return. The influence of optimized deep learning model on stock excess index has typical linear characteristics, which can be divided into linear increase and linear decline according to different change rules. The basic type has the greatest influence, while the corresponding pattern analysis type has the least influence. Finally, the method of experimental verification is used to verify the stock excess data, and the results show that the optimized deep learning model can better characterize the experimental results. Therefore, the optimized deep learning model based on nonlinear random matrix and esg factor can carry out targeted analysis of different types of stock returns, thus improving research ideas and calculation methods for the application of deep learning model in different fields.;;;;;;;;;0;0;0;0;0;0;0;;;1024-123X;1563-5147;;;;;;;;;;Univ Putra Malaysia, Sch Business & Econ, Serdang 43400, MalaysiaShanghai Univ Finance, Econ Zhejiang Coll, Jinhua 321000, Zhejiang, Peoples R ChinaYuncheng Univ, Yuncheng 044000, Shanxi, Peoples R China;Shanghai Univ Finance;;;2022-10-21;WOS:000864070000004;;
J;"Michelfelder, Richard A.; Pilotte, Eugene A.";;;;;;;;;;US vertically integrated electric utility greenhouse gas emissions and carbon risk premiums around the Paris Accord;;;;;;;;ENERGY POLICY;;;;195;;;;;;114346;;;10.1016/j.enpol.2024.114346;;;;;SEP 2024;;Article;DEC 2024;2024;We study the pricing of greenhouse gas emissions of vertically integrated producers of electricity around the Paris Accord (PA). We study whether emissions are priced by financial markets, providing a market-based incentive for firms to reduce their carbon footprints and if the heightened attention on climate change postParis Accord (PA) impacts the size of the carbon risk premium. We focus on electricity generators, because they are responsible for the largest share of emissions and emissions reductions in the U.S. and are highly exposed to regulatory, physical, and stranded asset risks. We find the cost of carbon risk is reflected in the returns of vertically integrated electric utilities. The post-PA period provides the strongest evidence that carbon risk is priced. We find that equity markets provide incentives for power producers to reduce emissions, as reductions in emissions are associated with reductions in required returns on equity (increases in equity market values). The challenge for regulators is how to respond in rate cases. Lowering a utility's regulated return to reflect lower market estimates of the return on equity would dilute the market-based incentive for emissions reductions. Adding a longer-term return incentive for continued investment in emissions reductions would reinforce the market incentive.;;;;;;;;;2;0;0;0;0;0;2;;;0301-4215;1873-6777;;;;;;;;;;Rutgers State Univ, Sch Business Camden, 227 Penn St, Camden, NJ 08102 USA;;;;2025-01-29;WOS:001403068500001;;
J;"Liu, Meng; Luo, Kaiping; Zhang, Junhuan; Chen, Shengli";;;;"; ZHANG, Junhuan/HGC-9327-2022";"Luo, Kaiping/0000-0003-1115-215X;";;;;;A stock selection algorithm hybridizing grey wolf optimizer and support vector regression;;;;;;;;EXPERT SYSTEMS WITH APPLICATIONS;;;;179;;;;;;115078;;;10.1016/j.eswa.2021.115078;;;;;MAY 2021;;Article;OCT 1 2021;2021;"Artificial intelligence remarkably facilitates quantitative investment. A latest intelligent search algorithm, grey wolf optimizer, is well integrated with support vector regression machine to obtain the optimal portfolio. The performance of the hybrid algorithm is empirically investigated through transactional and financial data from stock markets of America and China. The experimental results indicate that (i) the proposed algorithm is able to stably achieve excess returns; (ii) compared with genetic algorithm, particle swarm optimization, gravitational search algorithm and harmony search, the enhanced grey wolf optimizer significantly boots the predictive performance of support vector regression machine; (iii) the proposed algorithm can achieve the better profitability and the higher reliability in Chinese A-share market.";;;;;;;;;51;1;0;0;2;0;53;;;0957-4174;1873-6793;;;;;;;;;;Peking Univ, Sch Software & Microelect, Beijing 102600, Peoples R ChinaBeihang Univ, Sch Econ & Management, Beijing 100083, Peoples R ChinaHarvest Fund Management Co Ltd, Beijing 100005, Peoples R China;Harvest Fund Management Co Ltd;;;2021-06-11;WOS:000653660700002;;
J;"Chen, Jian; Tang, Guohao; Yao, Jiaquan; Zhou, Guofu";;;;"Zhou, Guofu/S-1157-2019; Chen, Jian/HKM-6136-2023";"Tang, Guohao/0000-0002-9231-0916; Zhou, Guofu/0000-0002-4104-403X;";;;;;Investor Attention and Stock Returns;;;;;;;;JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS;;;;57;2;;;455;484;PII S0022109021000090;;;10.1017/S0022109021000090;;;;;;;Article;MAR 2022;2022;We propose an investor attention index based on proxies in the literature and find that it predicts the stock market risk premium significantly, both in sample and out of sample, whereas every proxy individually has little predictive power. The index is extracted using partial least squares, but the results are similar by the scaled principal component analysis. Moreover, the index can deliver sizable economic gains for mean-variance investors in asset allocation. The predictive power of the investor attention index stems primarily from the reversal of temporary price pressure and from the stronger forecasting ability for high-variance stocks.;;;;;;;;;116;2;0;0;4;0;161;;;0022-1090;1756-6916;;;;;;;;;;Xiamen Univ, Sch Econ, Xiamen, Peoples R ChinaHunan Univ, Coll Finance & Stat, Changsha, Peoples R ChinaJinan Univ, Sch Management, Guangzhou, Peoples R ChinaWashington Univ, Olin Sch Business, St Louis, MO USA;;;;2022-02-06;WOS:000748865500004;;
J;"Andrei, Daniel; Hasler, Michael";;;;Andrei, Daniel/C-1684-2019;Hasler, Michael/0000-0002-0702-8941;;;;;Investor Attention and Stock Market Volatility;;;;;;;;REVIEW OF FINANCIAL STUDIES;;;;28;1;;;33;72;;;;10.1093/rfs/hhu059;;;;;;;Article;JAN 2015;2015;We investigate, in a theoretical framework, the joint role played by investors' attention to news and learning uncertainty in determining asset prices. The model provides two main predictions. First, stock return variance and risk premia increase with both attention and uncertainty. Second, this increasing relationship is quadratic. We empirically test these two predictions, and we show that the data lend support to the increasing relationship. The evidence for a quadratic relationship is mixed. Overall, our study shows theoretically and empirically that both attention and uncertainty are key determinants of asset prices.;;;;;;;;;314;7;0;0;5;3;418;;;0893-9454;1465-7368;;;;;;;;;;Univ Calif Los Angeles, Los Angeles, CA 90095 USAUniv Toronto, Toronto, ON M5S 1A1, Canada;;;;2015-01-01;WOS:000350115100002;;
J;"Goddard, John; Kita, Arben; Wang, Qingwei";;;;;"Wang, Qingwei/0000-0002-3695-7846; Kita, Arben/0000-0003-4725-5505";;;;;Investor attention and FX market volatility;;;;;;;;JOURNAL OF INTERNATIONAL FINANCIAL MARKETS INSTITUTIONS & MONEY;;;;38;;;;79;96;;;;10.1016/j.intfin.2015.05.001;;;;;;;Article;SEP 2015;2015;We study the relationship between investors' active attention, measured by a Google search volume index (SVI), and the dynamics of currency prices. Investor attention is correlated with the trading activities of large FX market participants. Investor attention comoves with contemporaneous FX market volatility and predicts subsequent FX market volatility, after controlling for macroeconomic fundamentals. In addition, investor attention is related to the currency risk premium. Our results suggest that investor attention is a priced source of risk in FX markets. (C) 2015 Elsevier B.V. All rights reserved.;;;;;;;;;89;3;0;0;0;0;105;;;1042-4431;;;;;;;;;;;Bangor Business Sch, Bangor LL57 2DG, Gwynedd, WalesUniv Southampton, Southampton SO17 1BJ, Hants, EnglandCardiff Business Sch, Cardiff CF10 3EU, S Glam, Wales;;;;2015-09-23;WOS:000360650700006;;
J;Li, Zheng;;;;"Li, Zheng/R-6423-2019; Li, Zheng/GQB-3232-2022";Li, Zheng/0000-0002-2912-2103;;;;;Experimental Evidence on Socioeconomic Differences in Risk-Taking and Risk Premiums*;;;;;;;;ECONOMIC RECORD;;;;96;313;;;140;152;;;;10.1111/1475-4932.12544;;;;;MAY 2020;;Article;JUN 2020;2020;Using a route choice experiment with embedded travel time variability, this study empirically estimates car commuters' risk attitudes and taste preferences within a nonlinear mixed logit model. In addition to the identified overall risk-taking behaviour, we find that risk attitudes covary with some sociodemographic characteristics, that is, older commuters are more risk-taking than young ones and higher-income commuters are less risk-taking than low-income ones. The implications of accounting for systematic risk attitude heterogeneity for valuing travellers' willingness to pay for travel time improvement are also discussed.;;;;;;;;;4;0;0;0;0;0;4;;;0013-0249;1475-4932;;;;;;;;;;Xi An Jiao Tong Univ, Sch Econ & Finance, Xian 710049, Shaanxi, Peoples R China;;;;2020-06-10;WOS:000536008900001;;
J;"Georgoutsos, Dimitris A.; Migiakis, Petros M.";;;;"; Migiakis, Petros/AAZ-6611-2020";"Migiakis, Petros/0000-0002-6038-876X;";;;;;Benchmark Bonds Interactions under Regime Shifts;;;;;;;;EUROPEAN FINANCIAL MANAGEMENT;;;;18;3;;;389;409;;;;10.1111/j.1468-036X.2009.00535.x;;;;;;;Article;JUN 2012;2012;In the present paper we examine the interactions among five benchmark ten year government bonds, namely those of the USA, Germany, France, Italy and the Netherlands. Our aim is to illustrate empirically a net of interactions existing among the major bond markets of Europe and the US market taking into account shifts in the underlying stochastic processes. For this purpose, differing from the rest of the relevant empirical literature, after specifying the long run equilibrium relations we estimate the linkages between the bond markets as subject to hidden Markov chains, by applying the Markov Switching Vector Error Correction framework (MS-VECM). This formulation is found to efficiently reflect the shifts brought about by significant economic events, such as the European monetary unification. As a result we illustrate different short-run relations referring to the periods before and after the monetary union. Overall, our empirical results indicate that stronger interactions among the markets of the system exist in the period after the EMU. Also, by means of a variance decomposition analysis we assess leader-follower relations which indicate that the benchmark status of bonds has changed since the introduction of the common monetary policy framework in Europe.;;;;;;;;;4;0;0;0;0;0;4;;;1354-7798;;;;;;;;;;;Athens Univ Econ & Business, Dept Accounting & Finance, GR-10434 Athens, GreeceBank Greece, Financial Operat Dept, GR-10250 Athens, Greece;;;;2012-06-13;WOS:000304188000004;;
