"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"A Neural Network Architecture for Maximizing Alpha in a Market Timing Investment Strategy","","Ospina-Holguin, Javier H; Padilla-Ospina, Ana M","IEEE Access","Scholarly Journals","","12","","2024-01-01","2024","119445","","119445-119463","21693536","","","ENG","In finance, assuming more risk often corresponds to the expectation of higher, compensating returns. In this setting, alpha stands out as one of the most prevalent and refined measures of risk-adjusted return ever postulated, allowing for the estimation of the excess return that cannot be explained by the risk factors impacting an asset. This article introduces a neural network architecture designed to formulate an investment strategy with the explicit goal of maximizing alpha. The strategy, centered around market timing, determines on a daily basis, based on past returns of the risky asset, whether to fully invest in the risky asset or opt for the risk-free alternative. The neural network architecture comprises two components: a policy network for strategy implementation and an evaluation network for long-term alpha computation during parameter optimization. Employing value-weighted US size decile portfolios as risky assets, the study achieves significant out-of-sample alphas ranging from 3.6% to 8.2% per year under the [Formula Omitted] asset pricing model (with a transaction cost assumption of one basis point). By construction, these alphas are not generated by risky asset growth. Robustness tests yield similar results with equal-weighted decile portfolios or under the Fama and French six-factor asset pricing model. Variations in transaction cost, number of past returns used as inputs, policy network design, or training sample size produce similar outcomes. This study underscores the effectiveness of reinforcement learning-inspired techniques in uncovering alpha in financial markets.","https://www.proquest.com/docview/3100616941?accountid=12870&bdid=124553&_bd=SalhcMlHDPbTI5UNUovUAS0WdPE%3D","https://doi.org/10.1109/ACCESS.2024.3446708"
"Predicting the Canadian Yield Curve Using Machine Learning Techniques","","Rayeni Ali; Naderi Hosein","International Journal of Financial Studies","Scholarly Journals","","13","3","2025-07-01","2025","170","","","22277072","","","ENG","This study applies machine learning methods to predict the Canadian yield curve using a comprehensive set of macroeconomic variables. Lagged values of the yield curve and a wide array of Canadian and international macroeconomic variables are utilized across various machine learning models. Hyperparameters are estimated to minimize mispricing across government bonds with different maturities. The Group Lasso algorithm outperforms the other models studied, followed by Lasso. In addition, the majority of the models outperform the Random Walk benchmark. The feature importance analysis reveals that oil prices, bond-related factors, labor market conditions, banks’ balance sheets, and manufacturing-related factors significantly drive yield curve predictions. This study is one of the few that uses such a broad array of macroeconomic variables to examine Canadian macro-level outcomes. It provides valuable insights for policymakers and market participants, with its feature importance analysis highlighting key drivers of the yield curve.","https://www.proquest.com/docview/3254534604?accountid=12870&bdid=124553&_bd=BUd2Xp4iBBsRqLDbBF7Qs3COyZw%3D","https://doi.org/10.3390/ijfs13030170"
"Macroeconomic Attention and Announcement Risk Premia","","Fisher, Adlai; Martineau, Charles; Sheng, Jinfei","The Review of Financial Studies","Scholarly Journals","","35","11","2022-11-01","Nov 2022","5057","5093","5057-5093","08939454","","","ENG","We construct macroeconomic attention indexes (MAI), which are new measures of attention to different macroeconomic risks, including unemployment and monetary policy. Individual MAI tend to increase around related announcements and following changes in related fundamentals. Further, bad news raises attention more than good news. For unemployment and FOMC, attention predicts announcement risk premiums and implied volatility changes with large economic magnitudes. Our findings support theories of endogenous attention and announcement risk premiums, while demonstrating future research directions, including that announcements can raise new concerns. Macroeconomic announcements are important not only for contents and timing but also for attention.Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online.","https://www.proquest.com/docview/3238289066?accountid=12870&bdid=124553&_bd=W4RpZAlKwuYEBZ99loVo1c1llT0%3D","https://doi.org/10.1093/rfs/hhac011"
"Online Investor Sentiment via Machine Learning","","Cai, Zongwu; Chen, Pixiong; Chen, Pixiong","Mathematics","Scholarly Journals","","12","20","2024-01-01","2024","3192","","","22277390","","","ENG","In this paper, we propose utilizing machine learning methods to determine the expected aggregated stock market risk premium based on online investor sentiment and employing the multifold forward-validation method to select the relevant hyperparameters. Our empirical studies provide strong evidence that some machine learning methods, such as extreme gradient boosting or random forest, show significant predictive ability in terms of their out-of-sample performances with high-dimensional investor sentiment proxies. They also outperform the traditional linear models, which shows a possible unobserved nonlinear relationship between online investor sentiment and risk premium. Moreover, this predictability based on online investor sentiment has a better economic value, so it improves portfolio performance for investors who need to decide the optimal asset allocation in terms of the certainty equivalent return gain and the Sharpe ratio.","https://www.proquest.com/docview/3120734407?accountid=12870&bdid=124553&_bd=xLohUkuD6SSS%2F7LNkjOtgLo%2FBz0%3D","https://doi.org/10.3390/math12203192"
"Trading Macro-Cycles of Foreign Exchange Markets Using Hybrid Models","","Bin Ling, Joseph Zhi; Tsui, Albert K; Zhang, Zhaoyong","Sustainability","Scholarly Journals","","13","17","2021-01-01","2021","9820","","","20711050","","","ENG","Most existing studies on forecasting exchange rates focus on predicting next-period returns. In contrast, this study takes the novel approach of forecasting and trading the longer-term trends (macro-cycles) of exchange rates. It proposes a unique hybrid forecast model consisting of linear regression, multilayer neural network, and combination models embedded with technical trading rules and economic fundamentals to predict the macro-cycles of the selected currencies and investigate the predicative power and market timing ability of the model. The results confirm that the combination model has a significant predictive power and market timing ability, and outperforms the benchmark models in terms of returns. The finding that the government bond yield differentials and CPI differentials are the important factors in exchange rate forecasts further implies that interest rate parity and PPP have strong influence on foreign exchange market participants.","https://www.proquest.com/docview/2571539222?accountid=12870&bdid=124553&_bd=ZeFCNW3oSFzd1QSVgm2bDNdBRwk%3D","https://doi.org/10.3390/su13179820"
"Non-linear risk premia","","Peel, D A","Applied Financial Economics","Scholarly Journals","","3","3","1993-09-01","Sep 1993","201","","201","09603107","","","ENG","Empirical evidence is provided that the pre-whitened forecast errors for 7 sterling exchange rates sampled monthly are parsimoniously modeled by bilinear processes.  Assuming rational expectations, this result implies that there are non-linear time-varying risk premia.  This result can offer one explanation for the new empirical finding that the squared forward premium is a significant determinant of the forecast error.","https://www.proquest.com/docview/197177840?accountid=12870&bdid=124553&_bd=2CM31JVEgIk8xQNAKuZcsrrrO4Y%3D",""
"Exploration of Stock Portfolio Investment Construction Using Deep Learning Neural Network","","Xie, Zizheng; Wang, Yi","Computational Intelligence and Neuroscience : CIN","Scholarly Journals","","2022","","2022-01-01","2022","","","","1687-5265","1687-5273","","ENG","To study the intelligent and efficient stock portfolio in China’s financial market, based on the relevant theories such as deep learning (DL) neural network (NN) and stock portfolio, this study selects 111 stable stocks from the constituent stocks of the China Security Index (CSI) 300 from January 1, 2018, to December 31, 2021, as the research samples. Then, it analyzes these research samples and imports the relevant data of 111 stocks into the DL NN model. The corresponding prediction results of stock prices are obtained. Finally, the stock portfolio model based on DL NN is compared with the data results of the Shanghai Stock Exchange (SSE) 50 Index and CSI 500 Index. The results show that the closing prices of the selected 111 stocks are relatively stable and fluctuate up and down around the horizontal axis, and the positive and negative returns are relatively balanced, roughly between −5% and 5%. There is a phenomenon of fluctuation aggregation to a certain extent. Comparing the prediction results of different models reveals that the prediction results of model c are closest to the actual stock price trend. Comparing the relevant returns of the proposed stock portfolio with other stocks uncovers that the annualized return of the stock portfolio based on the DL NN model is 47.44%. The sharp ratio is 1.52, the maximum pullback is 18.15%, the monthly excess return is 3.11%, and the information ratio is 0.82. Compared with other indexes, the proposed stock portfolio shows the best results. Therefore, the proposal of the stock portfolio based on DL NN provides a theoretical basis for the development of the financial field in the future.","https://www.proquest.com/docview/2667626059?accountid=12870&bdid=124553&_bd=STsfkx5FydnAbdCIpwi8sG8yoWA%3D","https://doi.org/10.1155/2022/7957097"
"Forecasting government bond spreads with heuristic models: evidence from the Eurozone periphery","","Filipa Da Silva Fernandes; Stasinakis, Charalampos; Zekaite, Zivile","Annals of Operations Research","Scholarly Journals","","282","1-2","2019-11-01","Nov 2019","87","118","87-118","02545330","","","ENG","This study investigates the predictability of European long-term government bond spreads through the application of heuristic and metaheuristic support vector regression (SVR) hybrid structures. Genetic, krill herd and sine–cosine algorithms are applied to the parameterization process of the SVR and locally weighted SVR (LSVR) methods. The inputs of the SVR models are selected from a large pool of linear and non-linear individual predictors. The statistical performance of the main models is evaluated against a random walk, an Autoregressive Moving Average, the best individual prediction model and the traditional SVR and LSVR structures. All models are applied to forecast daily and weekly government bond spreads of Greece, Ireland, Italy, Portugal and Spain over the sample period 2000–2017. The results show that the sine–cosine LSVR is outperforming its counterparts in terms of statistical accuracy, while metaheuristic approaches seem to benefit the parameterization process more than the heuristic ones.","https://www.proquest.com/docview/2015635137?accountid=12870&bdid=124553&_bd=dWOpo9JcLryl%2BBMZJ9Y3WERwNSA%3D","https://doi.org/10.1007/s10479-018-2808-0"
"Research on RMB exchange rate forecast based on the neural network model and the Nelson–Siegel model","","Hua Rui; Hu Wenzhe; Zhao Xiuju","Risk Management","Scholarly Journals","","22","3","2020-09-01","Sep 2020","219","237","219-237","14603799","","","ENG","This paper expands the neural network model to predict exchange rate based on the factors extracted from the Nelson–Siegel model. Based on the theory about exchange rate forecasting, interest could be used to predict the movement of exchange rate. Therefore, this paper analyzes the interest rate term structure factors based on the US and China yield curves data, then uses the Nelson–Siegel model to extract the factors of the interest rate term structure. Finally, the factors of yield curves are used as input data to of the neural network model. And the mean forecasting squared errors, mean absolute errors, mean absolute percentage errors of neural network model, Nelson–Siegel regression model, and ARIMA model are compared. The results show that the neural network model has a superior ability to explain the exchange rate fluctuations of the CNY and USD, and the prediction ability is better than the exchange rate prediction ability of the Nelson–Siegel regression model and ARIMA model.","https://www.proquest.com/docview/2431394647?accountid=12870&bdid=124553&_bd=f%2Fw%2Fi86XPJU7jKcgBiZTRjN89dM%3D","https://doi.org/10.1057/s41283-020-00062-3"
"Autoencoder-Based Three-Factor Model for the Yield Curve of Japanese Government Bonds and a Trading Strategy","","Suimon, Yoshiyuki; Sakaji, Hiroki; Izumi, Kiyoshi; Matsushima, Hiroyasu","Journal of Risk and Financial Management","Scholarly Journals","","13","4","2020-01-01","2020","82","","","19118066","","","ENG","Interest rates are representative indicators that reflect the degree of economic activity. The yield curve, which combines government bond interest rates by maturity, fluctuates to reflect various macroeconomic factors. Central bank monetary policy is one of the significant factors influencing interest rate markets. Generally, when the economy slows down, the central bank tries to stimulate the economy by lowering the policy rate to establish an environment in which companies and individuals can easily raise funds. In Japan, the shape of the yield curve has changed significantly in recent years following major changes in monetary policy. Therefore, an increasing need exists for a model that can flexibly respond to the various shapes of yield curves. In this research, we construct a three-factor model to represent the Japanese yield curve using the machine learning approach of an autoencoder. In addition, we focus on the model parameters of the intermediate layer of the neural network that constitute the autoencoder and confirm that the three automatically generated factors represent the “Level,” “Curvature,” and “Slope” of the yield curve. Furthermore, we develop a long–short strategy for Japanese government bonds by setting their valuation with the autoencoder, and we confirm good performance compared with the trend-follow investment strategy.","https://www.proquest.com/docview/2395389487?accountid=12870&bdid=124553&_bd=n8jfP%2FFPeHabM366LlWEttW01%2Bo%3D","https://doi.org/10.3390/jrfm13040082"
"Forecasting sovereign risk in the Euro area via machine learning","","Belly, Guillaume; Boeckelmann, Lukas; Carlos Mateo Caicedo Graciano; Alberto Di Iorio; Istrefi, Klodiana; Siakoulis, Vasileios; Arthur Stalla‐Bourdillon","Journal of Forecasting","Scholarly Journals","","42","3","2023-04-01","Apr 2023","657","684","657-684","02776693","","","ENG","We test the usefulness of machine learning (ML) for the valuation and pricing of sovereign risk in the Euro area along two important dimensions: i) its predictive accuracy compared with traditional econometric methods, and ii) its assessment of the main economic factors underlying market perceptions of sovereign risk.We find that ML techniques can capture the dynamics inherent in the market valuation of country risk far more efficiently than traditional econometric models, both in the cross‐section and in the time series. Moreover, we show that public sentiment about financial news, redenomination fears and the degree of hawkishness/dovishness expressed in the ECB president's speeches are major contributors to sovereign bond spreads. We also confirm that macroeconomic and global financial factors affect sovereign risk assessment and the corresponding formation of sovereign spreads.","https://www.proquest.com/docview/2782854180?accountid=12870&bdid=124553&_bd=IdQPmexeijLn05Gaf3jWgGNRhXA%3D","https://doi.org/10.1002/for.2938"
"Predicting Chinese bond risk premium with machine learning","","Zhai, Jia; Xi, Jiahui; Wen, Conghua; Lu, Zong","The European Journal of Finance","Scholarly Journals","","31","7","2025-05-01","May 2025","919","955","919-955","1351847X","","","ENG","This paper investigates whether bond yield curve and macroeconomic factors have nonlinear relationships with bond risk premia in the Chinese bond market. We apply machine learning approaches to forecast Chinese treasury bond one-year holding period excess returns. Our results show that the bond yield curve has significant nonlinear predictive relationships with bond risk premia. We find evidence that ‘monetary policy’ and ‘tax’ macroeconomic groups have stronger nonlinear relationships with risk premia while ‘invest’ macroeconomic factors matter more for bonds with longer maturities. This paper provides statistical evidence for a significant relationship between expected bond risk premia and several economic drivers including range of forecast of GDP and bond volatility variables. We further document the economic values of our forecasting results by showing they can generate statistically higher certain equivalent values than those from the benchmark forecast.","https://www.proquest.com/docview/3199717560?accountid=12870&bdid=124553&_bd=PXstOX2ZA0p1BoZPBy5ELhfUwWI%3D","https://doi.org/10.1080/1351847X.2024.2446719"
"Forecasting ETF Performance: A Comparative Study of Deep Learning Models and the Fama-French Three-Factor Model","","Shih, Kuang-Hsun; Yi-Hsien, Wang; Yi-Hsien, Wang; I-Chen, Kao; Fu-Ming, Lai","Mathematics","Scholarly Journals","","12","19","2024-01-01","2024","3158","","","22277390","","","ENG","The global financial landscape has witnessed a significant shift towards Exchange-Traded Funds (ETFs), with their market capitalization surpassing USD 10 trillion in 2023, due to advantages such as low management fees, high liquidity, and broad market exposure. As ETFs become increasingly central to investment strategies, accurately forecasting their performance has become crucial. This study addresses this need by comparing the efficacy of deep learning models against the traditional Fama-French three-factor model in predicting daily ETF returns. The methodology employs eight artificial neural network architectures, including ANN, LSTM, GRU, CNN, and their variants, implemented in Python and applied to data ranging from 2010 to 2020, while also exploring the impact of additional factors on forecast accuracy. Empirical results reveal that LSTM and the Fama-French three-factor model exhibit a superior performance in ETF return prediction. This study contributes to the literature on financial forecasting and offers practical insights into investment decision making. By leveraging advanced artificial intelligence techniques, this study aims to enhance the toolkit available for ETF performance analysis, potentially improving investment strategies in this dynamic market segment.","https://www.proquest.com/docview/3116655504?accountid=12870&bdid=124553&_bd=B0FmA%2Fvxf36riWzQepAZIcORYRs%3D","https://doi.org/10.3390/math12193158"
"Forecasting annual excess stock returns via an adaptive network-based fuzzy inference system","","Trinkle, Brad S","Intelligent Systems in Accounting, Finance and Management","Scholarly Journals","","13","3","2005-07-01","Jul-Sep 2005","165","","165-177","15501949","","","ENG","In this study, an adaptive network-based fuzzy inference system (ANFIS) and a neural network were tested for the ability of these techniques to forecast the annual excess returns of three large publicly traded companies from a time series of said returns. The predictive ability of these techniques was compared with that of an autoregressive moving average (ARMA) model. The Fair-Shiller test was used in the comparisons in order to obtain results that were not subjective and so that conclusions could be made regarding the information used by the techniques in the generation of their forecasts. Since predictive ability does not translate to profitability, a simple trading strategy was used to determine the ability to generate profits from trading upon the forecasts of the respective techniques. As hypothesized, the ANFIS and neural network techniques are able to generate forecasts with significant predictive ability. However, neither technique dominates the other or the ARMA model. In tests of the ability of the techniques to generate profits from their forecasts, a simple trading strategy was used (trading on the predicted sign of the return). The ANFIS and the neural network generated profits in all of the trading scenarios.","https://www.proquest.com/docview/214366502?accountid=12870&bdid=124553&_bd=TwbRYMWBYX1SzlguipE%2FQnY4jHA%3D",""
