"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Ma, F.; Wang, J.; Wahab, M.I.M.; Ma, Y.","Ma, Feng (55549235800); Wang, Jiqian (57208694548); Wahab, M. I.M. (9336799000); Ma, Yuanhui (57212620943)","55549235800; 57208694548; 9336799000; 57212620943","Stock market volatility predictability in a data-rich world: A new insight","2023","International Journal of Forecasting","39","4","","1804","1819","0","35","10.1016/j.ijforecast.2022.08.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140291431&doi=10.1016%2Fj.ijforecast.2022.08.010&partnerID=40&md5=2f88412fe379d55e2ce23fed80d4a33d","This study develops a shrinkage method, LASSO with a Markov regime-switching model (MRS-LASSO), to predict US stock market volatility. A set of 17 well-known macroeconomic and financial factors are used. The out-of-sample results reveal that the MRS-LASSO model yields statistically and economically significant volatility predictions. We further investigate the predictability of MRS-LASSO with respect to different market conditions, business cycles, and variable selection. Three factors (equity market returns, a short-term reversal factor, and a consumer sentiment index) are the most frequent predictors. To investigate the practical implications, we construct the expected variance risk premium (VRP) by using volatility forecasts generated from the LASSO and MRS-LASSO models to forecast future stock returns and find that those models are also powerful. © 2023 Elsevier B.V., All rights reserved.","Equity volatility forecasting; Forecast combination; Markov regime switching; Shrinkage method; Variance risk premium","","Article","Final","","Scopus","2-s2.0-85140291431"
"Yeter, B.; Garbatov, Y.; Brennan, F.; Kolios, A.","Yeter, Baran (6504465449); Garbatov, Yordan Y. (12784798500); Brennan, Feargal Peter (7102156948); Kolios, Athanasios J. (36544079300)","6504465449; 12784798500; 7102156948; 36544079300","Macroeconomic impact on the risk management of offshore wind farms","2023","Ocean Engineering","284","","115224","","","0","6","10.1016/j.oceaneng.2023.115224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163853313&doi=10.1016%2Fj.oceaneng.2023.115224&partnerID=40&md5=e3ba1273ef2d4c7cb232dbc4702c5d8a","The present study aims to develop a risk model to analyse offshore wind projects based on operational and macroeconomic data. The study investigates the underlying parameters defining the project-specific risk premium attached to an offshore wind project. These parameters are modelled as stochastic variables, and a probabilistic financial analysis is conducted using Monte Carlo Simulation. To calculate an interest rate based on operational characteristics, the present study assumes that two net present value equations yielding the same result can be written where certainty equivalent cash flows discounted at the risk-free rate and b) expected cash flows discounted at the cost of capital. The project-related risk is then estimated by solving the resulting equation for the unknown cost of capital. The macroeconomic factors are also considered as they impact the uncertainty associated with revenue and operating expenditure. The model developed to calculate the cost of capital is validated by comparing it with the data obtained for publicly traded renewable energy companies worldwide. Finally, the developed model is demonstrated for a fictitious ageing offshore wind farm under different economic circumstances. The parametric study is conducted on the effect of critical project-specific parameters such as the number of offshore wind turbines, the life extension duration, and the degree of uncertainty related to cash flows. © 2023 Elsevier B.V., All rights reserved.","Cost of capital; Decision-support; Life extension; Macroeconomic; Offshore wind; Risk","Decision support systems; Electric utilities; Intelligent systems; Monte Carlo methods; Offshore oil well production; Risk assessment; Risk management; Risk perception; Stochastic systems; Cash flow; Cost of capital; Decision supports; Life extensions; Macroeconomic; Macroeconomic impact; Offshore wind projects; Offshore winds; Risk modeling; Risks management; Offshore wind farms; capital formation; decision support system; economic impact; macroeconomics; numerical model; risk assessment; wind farm","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85163853313"
"Blitz, D.; Hanauer, M.X.; Hoogteijling, T.; Howard, C.","Blitz, David C. (23017878700); Hanauer, Matthias X. (55961360600); Hoogteijling, Tobias (57221969277); Howard, Clint (58686423600)","23017878700; 55961360600; 57221969277; 58686423600","The Term Structure of Machine Learning Alpha","2023","Journal of Financial Data Science","5","4","","40","65","0","7","10.3905/jfds.2023.1.135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176099492&doi=10.3905%2Fjfds.2023.1.135&partnerID=40&md5=d9c1c7c51b12768f2f8c95b1d8c8e9bc","Machine learning (ML) models for predicting stock returns are typically trained on one-month forward returns. Although these models show impressive full-sample gross alphas, their performance net of transaction costs post-2004 is close to zero. By training on longer prediction horizons and using efficient portfolio construction rules, the authors demonstrate that ML-based investment strategies can still yield significant positive net returns. Longer-horizon strategies select slower signals and load more on traditional asset pricing factors but still unlock unique alpha. The authors conclude that design choices are critical for the success of ML models in real-life applications. © 2023 Elsevier B.V., All rights reserved.","","","Article","Final","","Scopus","2-s2.0-85176099492"
"Dridi, I.; Boughrara, A.","Dridi, Ichrak (57197819768); Boughrara, Adel (6506471585)","57197819768; 6506471585","Flexible inflation targeting and stock market volatility: Evidence from emerging market economies","2023","Economic Modelling","126","","106420","","","0","11","10.1016/j.econmod.2023.106420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165012437&doi=10.1016%2Fj.econmod.2023.106420&partnerID=40&md5=aefbb3defb36a70add814f54d2335234","Since the recent financial crisis, inflation targeting has been considered as one of the causes of the authorities’ unresponsiveness to the buildup of financial instability. Related research has either emphasized the effects of the central bank instrument and/or outcome or exclusively the impact of a unique central bank institutional characteristic, but never all of them as a core part of a unified framework. We fulfill this gap by providing evidence on whether the stock market volatility from Flexible Inflation Targeting (FIT) countries is less than volatility from non-FIT countries. Using data on a large set of emerging and employing causal inference methods, we examine the impact of FIT on stock market volatility. The results demonstrate that FIT is effective in containing volatility. By anchoring market operators’ expectations, FIT shapes the risk premium, which compensates for inflation uncertainty by lowering its main component, i.e. uncertainty, hence eventually bringing down the stock market volatility. © 2023 Elsevier B.V., All rights reserved.","Crises; Doubly robust estimators; Flexible inflation targeting; Garman–Klass volatility; Inverse probability of treatment weighting; Propensity score matching","","Article","Final","","Scopus","2-s2.0-85165012437"
"de Andrade Alves, C.R.; Joseph Abraham, K.; Laurini, M.","de Andrade Alves, Cássio Roberto (57189358580); Joseph Abraham, Kuruvilla (58115218500); Laurini, Márcio Poletti (9238499800)","57189358580; 58115218500; 9238499800","Can Brazilian Central Bank communication help to predict the yield curve?","2023","Journal of Forecasting","42","6","","1429","1444","0","2","10.1002/for.2964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148706166&doi=10.1002%2Ffor.2964&partnerID=40&md5=b789cdf18b904f4f1c913cf6b72bf13b","This paper investigates whether Brazilian Central Bank communication helps to forecast the yield curve. Our forecast strategy involves two steps: First, we analyze textual Central Bank documents to extract sentiment variables that describe its communication, and then, we include those sentiment variables as additional factors into the dynamic Nelson–Siegel term structure model. We found that sentiment variables contain predictive information for yield curve forecasting. Specifically, when combined with macroeconomic variables, the sentiment variables improve the accuracy of the forecast for short maturities and forecast horizons. In addition, sentiment variables are useful in forecasting for medium and long forecast horizons for all maturities. Besides finding a new source of information to forecast the yield curve, the results indicate that the information provided by Central Bank affects market participants, proving to be a useful tool for monetary policy. © 2023 Elsevier B.V., All rights reserved.","Bayesian estimation; Central Bank communication; sentiment analysis; yield curve","Bayesian networks; Forecasting; Bayesian estimations; Central bank; Central bank communication; Macroeconomic variables; New sources; Predictive information; Sentiment analysis; Sources of informations; Term-structure models; Yield curve","Article","Final","","Scopus","2-s2.0-85148706166"
"Magalhães, B.G.; Bento, P.M.R.; Pombo, J.A.N.; Calado, M.R.A.; Mariano, S.J.P.S.","Magalhães, Bianca G. (57476549200); Bento, P. M.R. (57213474410); Pombo, José Álvaro Nunes (34977533800); Calado, M. R.A. (57211283718); Mariano, Sílvio J.P.S. (35612517200)","57476549200; 57213474410; 34977533800; 57211283718; 35612517200","Spot price forecasting for best trading strategy decision support in the Iberian electricity market","2023","Expert Systems with Applications","224","","120059","","","0","12","10.1016/j.eswa.2023.120059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152124621&doi=10.1016%2Fj.eswa.2023.120059&partnerID=40&md5=2fc811ab19d0dccddc007edf8afeaadc","The increasing volatility in electricity markets has reinforced the need for better trading strategies by both sellers and buyers to limit the exposure to losses. Accordingly, this paper proposes an electricity trading strategy based on a mid-term forecast of the average spot price and a risk premium analysis based on this forecast. This strategy can help traders (buyers and sellers) decide whether to trade in the futures market (of varying monthly maturity) or to wait and trade in the spot market. The forecast model consists of an Artificial Neural Network trained with the Long Short Term Memory architecture to predict the average monthly spot prices, using only market price-related data as input variables. Statistical analysis verified the correlation and dependency between variables. The forecast model was trained, validated and tested with price data from the Iberian Electricity Market (MIBEL), in particular the Spanish zone, between January 2015 and August 2019. The last year of this period was reserved for testing the performance of the proposed forecast model and trading strategy. For comparison purposes, the results of a forecasting model trained with the Extreme Learning Machine over the same period are also presented. In addition, the forecasted value of the average monthly spot price was used to perform a risk premium analysis. The results were promising, as they indicated benefits for traders adopting the proposed trading strategy, proving the potential of the forecast model and the risk premium analysis based on this forecast. © 2023 Elsevier B.V., All rights reserved.","Electricity market; Futures prices; LSTM; Risk premium; Spot prices forecast; Trading strategy","Costs; Decision support systems; Forecasting; Learning systems; Memory architecture; Power markets; Risk analysis; Risk assessment; Forecast models; Future price; Iberian electricity market; LSTM; Price forecasting; Price forecasts; Risk premium; Spot price; Spot price forecast; Trading strategies; Long short-term memory","Article","Final","All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85152124621"
"Harvey, C.R.; Siddique, A.","Harvey, Campbell R. (35608333700); Siddique, Akhtar R. (7007102563)","35608333700; 7007102563","Conditional Skewness in Asset Pricing: 25 Years of Out-of-Sample Evidence","2023","Critical Finance Review","12","1-4","","355","366","0","5","10.1561/104.00000134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192779205&doi=10.1561%2F104.00000134&partnerID=40&md5=bf020e243fcc8a2f732bf1780d4d5319","Much attention is paid to portfolio variance, but skewness is also important for both portfolio design and asset pricing. We revisit the empirical research on systematic skewness that we initiated 25 years ago. We analyze the out-of-sample evidence for the skewness risk premium presented in the literature including the recent work of Anghel et al. (2023). We also conduct an out-of-sample test and focus on the sensitivity of the risk premium estimate to different research choices. Overall, we find that the risk premium associated with systematic skewness is similar to the one reported in our original paper. © 2024 Elsevier B.V., All rights reserved.","Downside beta; Downside risk; Insurance; Portfolio optimization; Risk aversion; Risk premium","","Article","Final","","Scopus","2-s2.0-85192779205"
"Smull, E.; Kodra, E.; Stern, A.; Teras, A.; Bonanno, M.; Doyle, M.","Smull, Erika May (57220159422); Kodra, Evan A. (36504416300); Stern, Adam (58530270900); Teras, Andrew (58530203200); Bonanno, Michael (58530185500); Doyle, Martin W. (7401483945)","57220159422; 36504416300; 58530270900; 58530203200; 58530185500; 7401483945","Climate, race, and the cost of capital in the municipal bond market","2023","PLOS ONE","18","8 August","e0288979","","","0","4","10.1371/journal.pone.0288979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167528090&doi=10.1371%2Fjournal.pone.0288979&partnerID=40&md5=a87beb991cf39d05e56cd35d71f9d366","Both climate risk and race are factors that may affect municipal bond yields, yet each has received relatively limited empirical research attention. We analyzed > 712,000 municipal bonds representing nearly 2 trillion USD in par outstanding, focusing on credit spread or the difference between a debt issuer's interest cost to borrow and a benchmark ""risk-free""municipal rate. The relationship between credit spread and physical climate risk is significant and slightly positive, yet the coefficient indicates no meaningful spread penalty for increased physical climate risk. We also find that racial composition (the percent of a community that is Black) explains a statistically significant and meaningful portion of municipal credit spreads, even after controlling for a variety of variables in domains such as geographic location of issuer, bond structure (e.g., bond maturity), credit rating, and non-race economic variables (e.g., per capita income). Assuming 4 trillion USD in annual outstanding par across the entire municipal market, and weighting each issuer by its percent Black, an estimated 19 basis point (bp) penalty for Black Americans sums to approximately 900 million USD annually in aggregate. Our combined findings indicate a systemic mispricing of risk in the municipal bond market, where race impacts the cost of capital, and climate does not. © 2023 Elsevier B.V., All rights reserved.","","African American; article; bond market; climate; human; maturity; punishment; race; risk assessment; financial management; hospital finance; income; investment; Capital Financing; Financial Management, Hospital; Humans; Income; Investments","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85167528090"
"Jia, S.; Liu, Y.; Jin, J.","Jia, Shanghui (22985375500); Liu, Yingke (58487549600); Jin, Jiayu (57197764233)","22985375500; 58487549600; 57197764233","Can climate change attention predict energy stock returns?","2023","Environmental Science and Pollution Research","30","38","","89253","89269","0","6","10.1007/s11356-023-28731-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164793373&doi=10.1007%2Fs11356-023-28731-2&partnerID=40&md5=ee85709643960ae5eb0fab13f838da14","We propose a climate change attention (CCA) index based on Google search volume index (GSVI) from 2004 to 2021 and show that it is an economically and statistically significant negative predictor for next month’s energy stock returns. The index is extracted using principal component analysis (PCA), but the results are similar by using the equal-weighted average method. Compared with 14 traditional macroeconomic predictors, CCA performs the best and provides complementary information when added into bivariate and multivariate macro predictive models. When further considering the effect of CCA’s forecasting power over different periods, strong evidence is shown that this outperformance is especially prominent in economic depressions and down market conditions. From the asset allocation perspective, CCA can provide a mean-variance investor with significant economic gains under alternative risk aversions. Our empirical results prove that investors’ attention to climate change contains predictive information for excess returns of global traditional energy stock index. © 2023 Elsevier B.V., All rights reserved.","Asset Allocation; Climate change; Energy stock market; Google search volume index; Investor attention; Principal component analysis; Return predictability","climate change; economic conditions; index method; macroeconomics; market conditions; principal component analysis; spatiotemporal analysis; investment; Climate Change; Investments; Principal Component Analysis","Article","Final","","Scopus","2-s2.0-85164793373"
"Wang, J.; Chen, Z.","Wang, Jiawei (58513379900); Chen, Zhen (58513129300)","58513379900; 58513129300","Exploring Low-Risk Anomalies: A Dynamic CAPM Utilizing a Machine Learning Approach","2023","Mathematics","11","14","3220","","","0","5","10.3390/math11143220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166206513&doi=10.3390%2Fmath11143220&partnerID=40&md5=d85880f568724fa7255d579695735817","Low-risk pricing anomalies, characterized by lower returns in higher-risk stocks, are prevalent in equity markets and challenge traditional asset pricing theory. Previous studies primarily relied on linear regression methods, which analyze a limited number of factors and overlook the advantages of machine learning in handling high-dimensional data. This study aims to address these anomalies in the Chinese market by employing machine learning techniques to measure systematic risk. A large dataset consisting of 770 variables, encompassing macroeconomic, micro-firm, and cross-effect factors, was constructed to develop a machine learning-based dynamic capital asset pricing model. Additionally, we investigated the differences in factors influencing time-varying beta between state-owned enterprises (SOEs) and non-SOEs, providing economic explanations for the black-box issues. Our findings demonstrated the effectiveness of random forest and neural networks, with the four-layer neural network performing best and leading to a substantial rise in the excess return of the long–short portfolio, up to 0.36%. Notably, liquidity indicators emerged as the primary drivers influencing beta, followed by momentum. Moreover, our analysis revealed a shift in variable importance during the transition from SOEs to non-SOEs, as liquidity and momentum gradually replaced fundamentals and valuation as key determinants. This research contributes to both theoretical and practical domains by bridging the research gap in incorporating machine learning methods into asset pricing research. © 2023 Elsevier B.V., All rights reserved.","asset pricing; beta estimation; machine learning; stock market","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85166206513"
"Abakah, E.J.A.; Tiwari, A.K.; Ghosh, S.; Doğan, B.","Abakah, Emmanuel Joel Aikins (57201553044); Tiwari, Aviral Kumar (57204698496); Ghosh, Sudeshna (57209784820); Doğan, Buhari (57191664500)","57201553044; 57204698496; 57209784820; 57191664500","Dynamic effect of Bitcoin, fintech and artificial intelligence stocks on eco-friendly assets, Islamic stocks and conventional financial markets: Another look using quantile-based approaches","2023","Technological Forecasting and Social Change","192","","122566","","","0","82","10.1016/j.techfore.2023.122566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152485944&doi=10.1016%2Fj.techfore.2023.122566&partnerID=40&md5=c1f97b045bdb4bd9b8444cb70ca68f6e","Against the milieu of rapidly growing investment in technologically induced assets, this study examines the investment role of Bitcoin, fintech, and artificial intelligence (AI) stocks in relation to major environmentally friendly assets (green bonds, sustainable investments, and clean energy), Islamic stocks, and conventional financial markets using quantile-based approaches. To this end, we specifically examine the distributional and directional predictability between the returns of fintech, Bitcoin, and AI and various markets using the nonparametric causality-in-quantiles method and the cross-quantilogram correlation method respectively. We use daily data spanning March 9, 2018 to January 27, 2021. In terms of the distributional predictability of fintech, Bitcoin, and AI in relation to the traditional markets, Islamic stocks, clean energy stocks, and sustainable investments, we find strong evidence of causal asymmetry across quantiles and strong variations across markets. Likewise, findings in terms of directional predictability between the returns of fintech, Bitcoin, and AI and various markets infer that Islamic stocks act as a good hedge against Bitcoin. The S&P Treasury Bond and S&P Green Bond are also perfect hedges for fintech stocks, while S&P Global Clean Energy is a perfect hedge for AI stocks in terms of long-term dynamics. © 2023 Elsevier B.V., All rights reserved.","Artificial intelligence; Bitcoin; Causality in quantiles; Cross-quantilogram correlation; Fintech; Predictability","Bitcoin; Financial markets; Investments; Wooden fences; Causality in quantile; Clean energy; Cross-quantilogram correlation; Daily datum; Dynamic effects; Eco-friendly; Nonparametrics; Predictability; Sustainable investments; Traditional markets; Artificial intelligence; artificial intelligence; correlation; currency; financial market; investment; regression analysis; stock market","Article","Final","","Scopus","2-s2.0-85152485944"
"Korangi, K.; Mues, C.; Bravo, C.","Korangi, Kamesh (57355111600); Mues, Christophe (6603055660); Bravo, Cristián (25635388600)","57355111600; 6603055660; 25635388600","A transformer-based model for default prediction in mid-cap corporate markets","2023","European Journal of Operational Research","308","1","","306","320","0","38","10.1016/j.ejor.2022.10.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143550150&doi=10.1016%2Fj.ejor.2022.10.032&partnerID=40&md5=629f9a4355496d502e429e10a7d84773","In this paper, we study mid-cap companies, i.e. publicly traded companies with less than US$10 billion in market capitalisation. Using a large dataset of US mid-cap companies observed over 30 years, we look to predict the default probability term structure over the short to medium term and understand which data sources (i.e. fundamental, market or pricing data) contribute most to the default risk. Whereas existing methods typically require that data from different time periods are first aggregated and turned into cross-sectional features, we frame the problem as a multi-label panel data classification problem. To tackle it, we then employ transformer models, a state-of-the-art deep learning model emanating from the natural language processing domain. To make this approach suitable to the given credit risk setting, we use a loss function for multi-label classification, to deal with the term structure, and propose a multi-channel architecture with differential training that allows the model to use all input data efficiently. Our results show that the proposed deep learning architecture produces superior performance, resulting in a sizeable improvement in AUC (Area Under the receiver operating characteristic Curve) over traditional models. In order to interpret the model, we also demonstrate how to produce an importance ranking for the different data sources and their temporal relationships, using a Shapley approach for feature groups. © 2023 Elsevier B.V., All rights reserved.","Deep learning; Default prediction; Mid-cap credit risk; OR in banking; Transformers","Classification (of information); Commerce; Deep learning; Large dataset; Learning algorithms; Learning systems; Natural language processing systems; Risk assessment; Corporates; Credit risks; Data-source; Default prediction; Market capitalization; Mid-cap credit risk; OR in banking; Term structure; Transformer; Forecasting","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85143550150"
"Tan, W.L.; Roberts, S.; Zohren, S.","Tan, Weeling (57549585900); Roberts, Stephen J.J. (57203276441); Zohren, Stefan (14057447500)","57549585900; 57203276441; 14057447500","Spatio-Temporal Momentum: Jointly Learning Time-Series and Cross-Sectional Strategies","2023","Journal of Financial Data Science","5","3","","107","129","0","2","10.3905/jfds.2023.1.130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179918020&doi=10.3905%2Fjfds.2023.1.130&partnerID=40&md5=f0dcc0bfe7da5374392a0b389a7636f9","The authors introduce spatio-temporal momentum strategies, a class of models that unify both time-series and cross-sectional momentum strategies by trading assets based on their cross-sectional momentum features over time. Although both time-series and cross-sectional momentum strategies are designed to systematically capture momentum risk premiums, these strategies are regarded as distinct implementations and do not consider the concurrent relationship and predictability between temporal and cross-sectional momentum features of different assets. They model spatio-temporal momentum with neural networks of varying complexities and demonstrate that a simple neural network with only a single fully connected layer learns to simultaneously generate trading signals for all assets in a portfolio by incorporating both their time-series and cross-sectional momentum features. Back testing on portfolios of 46 actively traded US equities and 12 equity index futures contracts, they demonstrate that the model is able to retain its performance over benchmarks in the presence of high transaction costs of up to 5–10 basis points. In particular, they find that the model when coupled with least absolute shrinkage and turnover regularization results in the best performance over various transaction cost scenarios. © 2023 Elsevier B.V., All rights reserved.","","","Article","Final","","Scopus","2-s2.0-85179918020"
"Castello, O.; Resta, M.","Castello, Oleksandr (57450781900); Resta, Marina (56225368400)","57450781900; 56225368400","A Machine-Learning-Based Approach for Natural Gas Futures Curve Modeling","2023","Energies","16","12","4746","","","0","5","10.3390/en16124746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163835741&doi=10.3390%2Fen16124746&partnerID=40&md5=01006869570d117bdca999037eb81731","This work studies the term structure dynamics in the natural gas futures market, focusing on the Dutch Title Transfer Facility (TTF) daily futures prices. At first, using the whole dataset, we compared the in-sample fitting performance of three models: the four-factor dynamic Nelson–Siegel–Svensson (4F-DNSS) model, the five-factor dynamic De Rezende–Ferreira (5F-DRF) model, and the B-spline model. Our findings suggest that B-spline is the method that achieves the best in-line fitting results. Then, we turned our attention to forecasting, using data from 20 January 2011 to 13 May 2022 as the training set and the remaining data, from 16 May to 13 June 2022, for day-ahead predictions. In this second part of the work we combined the above mentioned models (4F-DNSS, 5F-DRF and B-spline) with a Nonlinear Autoregressive Neural Network (NAR-NN), asking the NAR-NN to provide parameter tuning. All the models provided accurate out-of-sample prediction; nevertheless, based on extensive statistical tests, we conclude that, as in the previous case, B-spline (combined with an NAR-NN) ensured the best out-of-sample prediction. © 2023 Elsevier B.V., All rights reserved.","artificial neural networks (ANN); B-spline; De Rezende–Ferreira model; futures prices term structure; natural gas; Nelson–Siegel–Svensson model; Nonlinear Autoregressive Neural Networks (NAR-NNs)","Costs; Interpolation; Machine learning; Natural gas; Neural networks; Artificial neural network; Autoregressive neural networks; B splines; De rezende–ferreirum model; Future price term structure; Machine-learning; Natural gas futures; Nelson–siegel–svensson model; Nonlinear autoregressive neural network; Term structure; Forecasting","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85163835741"
"Hurn, S.; MARTIN, V.; Tian, J.","Hurn, Stan (6602708657); MARTIN, VANCE L. (7202200382); Tian, Jing (55328994800)","6602708657; 7202200382; 55328994800","Modeling Multi-horizon Electricity Demand Forecasts in Australia: A Term Structure Approach","2023","Energy Journal","44","3","","251","266","0","2","10.5547/01956574.44.2.SHUR","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184214944&doi=10.5547%2F01956574.44.2.SHUR&partnerID=40&md5=8d39fb173ef3fa2d8d4e29ddecaa74ef","The Australian Electricity Market Operator generates one-day ahead electricity demand forecasts for the National Electricity Market in Australia and updates these forecasts over time until the time of dispatch. Despite the fact that these forecasts play a crucial role in the decision-making process of market participants, lit-tle attention has been paid to their evaluation and interpretation. Using half-hourly data from 2011 to 2015 for New South Wales and Queensland, it is shown that the official half-hourly demand forecasts do not satisfy the econometric properties required of rational forecasts. Instead there is a relationship between forecasts and forecast horizon similar to a term structure model of interest rates. To study the term structure of demand forecasts, a factor analysis that uses a small set of latent factors to explain the common variation among multiple observables is imple-mented. A three-factor model is identified with the factors admitting interpretation as the level, slope and curvature of the term structure of forecasts. The validity of the model is reinforced by assessing the economic value of demand forecasts. It is demonstrated that simple adjustments to long-horizon electricity demand forecasts based on the three estimated factors can enhance the informational content of the official forecasts. © 2024 Elsevier B.V., All rights reserved.","Economic value; Electricity demand; Multi-horizon forecasts; Term structure","","Article","Final","","Scopus","2-s2.0-85184214944"
"Ben Abdelaziz, F.; Chibane, M.","Ben Abdelaziz, Fouad (55971080000); Chibane, Messaoud (57225216205)","55971080000; 57225216205","Portfolio optimization in the presence of tail correlation","2023","Economic Modelling","122","","106235","","","0","8","10.1016/j.econmod.2023.106235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149471432&doi=10.1016%2Fj.econmod.2023.106235&partnerID=40&md5=35edc3923027f51972407c1948146451","We investigate the relative performance of optimal versus naive portfolio strategies. The accepted status on this question is that naive diversification outperforms optimal strategies. We revisit this question using U.S. data for equity, Treasury bonds, Gold and Crude Oil between 2002 and 2022 by analyzing the portfolio of investors displaying constant relative risk aversion who also consider tail behavior in the dynamics of assets. We use moment generating functions applied to non-Gaussian processes to obtain accurate model estimation as well as an efficient control variate for the utility maximization problem. Our results show that risk-averse investors that are aware of tail dynamics consistently outperform the most standard portfolio strategies. In particular, highly risk-averse investors substantially outperform the so-called naive 1/N portfolio in both pre-COVID-19 and post-COVID-19 periods. Thus, true portfolio diversification requires considering both the complexity of asset dynamics and realistic risk aversion structures. © 2023 Elsevier B.V., All rights reserved.","Naive diversification; Optimal portfolio; Risk aversion; Tail correlation","","Article","Final","","Scopus","2-s2.0-85149471432"
"Abakah, E.J.A.; Nasreen, S.; Tiwari, A.K.; Lee, C.-C.","Abakah, Emmanuel Joel Aikins (57201553044); Nasreen, Samia (55653767000); Tiwari, Aviral Kumar (57204698496); Lee, Chien-Chiang (8601620600)","57201553044; 55653767000; 57204698496; 8601620600","U.S. leveraged loan and debt markets: Implications for optimal portfolio and hedging","2023","International Review of Financial Analysis","87","","102514","","","0","28","10.1016/j.irfa.2023.102514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148346724&doi=10.1016%2Fj.irfa.2023.102514&partnerID=40&md5=c81900d99e18ad5d1fd4f21f01d0a1fd","This paper offers fresh empirical evidence on the relationship between leverage loans and US debt markets by investigating the distributional predictability and directional predictability between leveraged loans and treasury bonds, fixed income securities and corporate bonds in the U.S economy. We use daily price data from January 2013 to April 2021. First, we analyze the causal relationship between variables by applying non-parametric causality-in-quantiles test and find that quantile causality in variance shows the stronger impact of leverage loan market returns on US debt market returns over the entire quantile range. Second, quantile dependence and directional predictability between leverage loan market and US debt markets are analyzed by applying cross-quantilogram approach and estimated results show the heterogeneous quantile relations from leverage loan market to US debt market. Moreover, the cross-quantile correlation results demonstrate the evidence of negative predictability from leverage loan market to US debt market in low, medium and high quantile range. These evidences are important for US investors and portfolio managers. © 2023 Elsevier B.V., All rights reserved.","Debt markets; Leverage loans; Nonlinear dependence; Quantile dependence; U.S economy","","Article","Final","","Scopus","2-s2.0-85148346724"
"Kaczmarek, T.; Grobelny, P.","Kaczmarek, Tomasz (57221489183); Grobelny, Przemysław (57194383683)","57221489183; 57194383683","How to fly to safety without overpaying for the ticket","2023","Economics and Business Review","9","2","","160","183","0","0","10.18559/ebr.2023.2.738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168003715&doi=10.18559%2Febr.2023.2.738&partnerID=40&md5=234075bf4afac4ab4e8170ed913b55f1","For most active investors treasury bonds (govs) provide diversification and thus reduce the risk of a portfolio. These features of govs become particularly desirable in times of elevated risk which materialize in the form of the flight-To-safety (FTS) phenomenon. The FTS for govs provides a shelter during market turbulence and is exceptionally beneficial for portfolio drawdown risk reduction. However, what if the unsatisfactory expected return from treasuries discourages higher bonds allocations? This research proposes a solution to this problem with Deep Target Volatility Equity-Bond Allocation (DTVEBA) that dynamically allocate portfolios between equity and treasuries. The strategy is driven by a state-of-The-Art recurrent neural network (RNN) that predicts next-day market volatility. An analysis conducted over a twelve year out-of-sample period found that with DTVEBA an investor may reduce treasury allocation by two (three) times to get the same Sharpe (Calmar) ratio and overper-forms the S&P500 index by 43% (115%). © 2023 Elsevier B.V., All rights reserved.","asset allocation strategy; flight-To-safety; machine learning; recurrent neural networks; target volatility","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168003715"
